"","Symbol","P_counts","P_study_names","AdjP_counts","AdjP_study_names","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","karlovich","P_value_study_count","AdjP_value_study_count"
"1","NEK8",9,"gomez goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser3BaselineVStenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll",4,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",1,0,4,4,0,0,0,0,3,1
"2","IPP",9,"gomez meaburn1 meaburn2 goschNineHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser3BaselineVStenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll",2,"goschNineHrMain goschTwelveHrMain",1,2,2,4,0,0,0,0,4,1
"3","CDKN2AIPNL",16,"gomez meaburn2 goschNineHrMain goschTwentyoneHrMain obermoser1BaseVSfourteenALL obermoser1BaseVSsevenALL obermoser1BaseVStenALL obermoser1BaseVSzeroALL obermoser3BaselineVSsevenAll obermoser3BaselineVStenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll",4,"meaburn2 obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll",1,1,2,12,0,0,0,0,4,2
"4","RP11-346C20",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"5","MAPK7",10,"gomez goschEighteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSsevenALL obermoser1BaseVStenALL obermoser1BaseVStwentyEightALL obermoser3BaselineVSthreeAll obermoser4BaselineVSthirtySixAll",2,"goschNineHrMain goschTwelveHrMain",1,0,4,5,0,0,0,0,3,1
"6","CTC-523E23",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"7","NAT10",9,"gomez goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll",4,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser4BaselineVSnineAll",1,0,5,3,0,0,0,0,3,2
"8","SERPINB2",2,"gomez obermoser3BaselineVSsevenAll",0,"",1,0,0,1,0,0,0,0,2,0
"9","LRIG1",11,"gomez meaburn2 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser4BaselineVSfifteenAll rusch",7,"meaburn2 goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL rusch",1,1,5,3,0,1,0,0,5,4
"10","ZNF491",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"11","LINC00921",9,"gomez meaburn1 meaburn2 goschNineHrMain goschTwelveHrMain obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthreeAll larocca",1,"goschNineHrMain",1,2,2,3,0,0,1,0,5,1
"12","ALCAM",3,"gomez meaburn2 rusch",1,"rusch",1,1,0,0,0,1,0,0,3,1
"13","TRIM68",4,"gomez goschTwelveHrMain obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll",1,"obermoser4BaselineVStwelveAll",1,0,1,2,0,0,0,0,3,1
"14","CCDC88A",8,"gomez goschFifteenHrMain obermoser3BaselineVSoneAll obermoser3BaselineVSpoint5All obermoser3BaselineVSthreeAll obermoser3BaselineVSzeroAll rusch karlovich_28d",0,"",1,0,1,4,0,1,0,1,5,1
"15","ELK3",7,"gomez goschFifteenHrMain goschNineHrMain goschSixHrMain obermoser1BaseVStwentyOneALL rusch karlovich2",0,"",1,0,3,1,0,1,0,1,5,1
"16","RP11-398A8",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"17","DCAF15",3,"gomez goschTwentyoneHrMain obermoser1BaseVStwentyEightALL",0,"",1,0,1,1,0,0,0,0,3,0
"18","CPNE7",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"19","TSNARE1",6,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschTwelveHrMain goschTwentyoneHrMain",3,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain",1,0,5,0,0,0,0,0,2,1
"20","RP11-386G11",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"21","KRT5",3,"gomez goschNineHrMain larocca",0,"",1,0,1,0,0,0,1,0,3,0
"22","TTC12",6,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschTwelveHrMain goschTwentyoneHrMain",3,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain",1,0,5,0,0,0,0,0,2,1
"23","SFXN2",10,"gomez meaburn1 meaburn2 goschFifteenHrMain goschNineHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser4BaselineVSone obermoser4BaselineVSthreeAll obermoser4BaselineVStwentyFourAll",3,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain",1,2,4,3,0,0,0,0,4,1
"24","ERCC4",7,"gomez goschNineHrMain goschTwelveHrMain obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll rusch",3,"goschNineHrMain goschTwelveHrMain rusch",1,0,2,3,0,1,0,0,4,2
"25",NA,35,"gomez meaburn1 meaburn2 obermoser1BaseVSfourteenALL obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser1BaseVStenALL obermoser1BaseVSthreeALL obermoser1BaseVStwentyEightALL obermoser1BaseVStwentyOneALL obermoser1BaseVSzeroALL obermoser2BaselineVSsevenAll obermoser2BaselineVSzeroAll obermoser3BaselineVSoneAll obermoser3BaselineVSpoint5All obermoser3BaselineVSsevenAll obermoser3BaselineVStenAll obermoser3BaselineVSthreeAll obermoser3BaselineVStwentyEightAll obermoser3BaselineVSzeroAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll obermoser4BaselineVSzeroAll dusek rusch karlovich_14d karlovich_28d karlovich2",16,"meaburn2 obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser2BaselineVSsevenAll obermoser3BaselineVSsevenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll rusch karlovich2",1,2,0,27,1,1,0,3,6,4
"26","C1orf220",5,"gomez meaburn2 goschNineHrMain goschSixHrMain goschTwelveHrMain",4,"meaburn2 goschNineHrMain goschSixHrMain goschTwelveHrMain",1,1,3,0,0,0,0,0,3,2
"27","TOM1L2",6,"gomez goschTwelveHrMain obermoser1BaseVSoneALL obermoser1BaseVStenALL obermoser1BaseVStwentyEightALL obermoser1BaseVSzeroALL",1,"goschTwelveHrMain",1,0,1,4,0,0,0,0,3,1
"28","RP11-428J1",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"29","SIPA1L3",9,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVStwelveAll karlovich2",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",1,0,5,2,0,0,0,1,4,2
"30","MYOF",15,"gomez goschNineHrMain obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser3BaselineVSoneAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll rusch",7,"obermoser1BaseVSsevenALL obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll",1,0,1,12,0,1,0,0,4,1
"31","AKAP17A",11,"gomez goschTwentyoneHrMain obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser1BaseVSthreeALL obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVStwentyFourAll rusch karlovich_14d karlovich_28d",1,"obermoser1BaseVSsevenALL",1,0,1,6,0,1,0,2,5,2
"32","TRBD1",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"33","POLM",10,"gomez obermoser3BaselineVStwentyEightAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll",1,"obermoser4BaselineVSthreeAll",1,0,0,9,0,0,0,0,2,1
"34","CTD-3032J10",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"35","HDC",9,"gomez meaburn2 goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser4BaselineVSfortyEightAll obermoser4BaselineVSone",4,"meaburn2 goschFifteenHrMain goschNineHrMain goschTwelveHrMain",1,1,4,3,0,0,0,0,4,2
"36","PPT2",5,"gomez goschTwelveHrMain obermoser1BaseVSfourteenALL obermoser1BaseVSoneALL obermoser1BaseVSsevenALL",1,"goschTwelveHrMain",1,0,1,3,0,0,0,0,3,1
"37","MOB3B",2,"gomez obermoser1BaseVSzeroALL",0,"",1,0,0,1,0,0,0,0,2,0
"38","DHX37",11,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser2BaselineVSsevenAll obermoser4BaselineVSnineAll karlovich_14d",3,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain",1,0,5,4,0,0,0,1,4,2
"39","C11orf24",6,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",3,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain",1,0,5,0,0,0,0,0,2,1
"40","KIF9-AS1",2,"gomez rusch",1,"rusch",1,0,0,0,0,1,0,0,2,1
"41","TRBJ1-6",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"42","FAM122C",2,"gomez goschTwentyoneHrMain",0,"",1,0,1,0,0,0,0,0,2,0
"43","CDKN3",5,"gomez meaburn2 goschEighteenHrMain goschNineHrMain obermoser3BaselineVSsevenAll",0,"",1,1,2,1,0,0,0,0,4,0
"44","ZNF320",7,"gomez meaburn2 goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser3BaselineVSthreeAll karlovich2",2,"goschFifteenHrMain goschTwelveHrMain",1,1,3,1,0,0,0,1,5,2
"45","GATA2",5,"gomez meaburn1 meaburn2 goschTwelveHrMain obermoser4BaselineVSthirtySixAll",1,"meaburn2",1,2,1,1,0,0,0,0,4,1
"46","MAN2A2",13,"gomez goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSfourteenALL obermoser1BaseVSoneALL obermoser1BaseVStenALL obermoser1BaseVSzeroALL obermoser3BaselineVSzeroAll obermoser4BaselineVSfifteenAll obermoser4BaselineVStwelveAll karlovich2",5,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain karlovich2",1,0,4,7,0,0,0,1,4,2
"47","TXNDC15",5,"gomez meaburn2 obermoser1BaseVSthreeALL rusch karlovich2",0,"",1,1,0,1,0,1,0,1,5,1
"48","C12orf73",2,"gomez goschNineHrMain",1,"goschNineHrMain",1,0,1,0,0,0,0,0,2,1
"49","MEMO1",7,"gomez goschNineHrMain goschTwelveHrMain obermoser1BaseVSsevenALL obermoser2BaselineVSsevenAll obermoser3BaselineVSthreeAll rusch",4,"goschNineHrMain goschTwelveHrMain obermoser1BaseVSsevenALL rusch",1,0,2,3,0,1,0,0,4,3
"50","C7orf34",5,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschTwelveHrMain",2,"goschNineHrMain goschTwelveHrMain",1,0,4,0,0,0,0,0,2,1
"51","RP11-379H18",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"52","ZNF687",3,"gomez goschTwelveHrMain obermoser1BaseVStwentyEightALL",0,"",1,0,1,1,0,0,0,0,3,0
"53","ZNF554",4,"gomez goschFifteenHrMain goschNineHrMain karlovich_14d",1,"goschNineHrMain",1,0,2,0,0,0,0,1,3,2
"54","AGL",13,"gomez meaburn2 goschNineHrMain goschTwelveHrMain obermoser1BaseVStwentyOneALL obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll obermoser4BaselineVSzeroAll rusch karlovich2",4,"goschNineHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll rusch",1,1,2,7,0,1,0,1,6,4
"55","RP11-819C21",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"56","MIR4453",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"57","ZSCAN12",12,"gomez meaburn2 goschNineHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll obermoser4BaselineVSzeroAll",4,"goschNineHrMain goschTwelveHrMain obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll",1,1,2,8,0,0,0,0,4,2
"58","RP11-480A16",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"59","PRORSD1P",6,"gomez meaburn2 obermoser1BaseVSfourteenALL obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser1BaseVSzeroALL",1,"meaburn2",1,1,0,4,0,0,0,0,3,1
"60","PRKG1",5,"gomez goschEighteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",2,"goschNineHrMain goschTwelveHrMain",1,0,4,0,0,0,0,0,2,1
"61","PRR13P2",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"62","USP49",12,"gomez meaburn1 goschSixHrMain goschThreeHrMain goschTwelveHrMain obermoser1BaseVSsevenALL obermoser1BaseVSzeroALL obermoser3BaselineVStenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll rusch",2,"goschSixHrMain obermoser4BaselineVSfifteenAll",1,1,3,6,0,1,0,0,5,2
"63","CENPE",8,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSsevenALL obermoser3BaselineVSsevenAll",4,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",1,0,5,2,0,0,0,0,3,1
"64","RNF25",3,"gomez obermoser1BaseVSthreeALL obermoser4BaselineVSzeroAll",0,"",1,0,0,2,0,0,0,0,2,0
"65","C3",5,"gomez goschNineHrMain goschSixHrMain obermoser1BaseVSoneALL obermoser1BaseVSthreeALL",1,"obermoser1BaseVSoneALL",1,0,2,2,0,0,0,0,3,1
"66","RP11-855A2",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"67","ZNF252P-AS1",6,"gomez meaburn2 goschFifteenHrMain goschThreeHrMain obermoser1BaseVSsevenALL obermoser3BaselineVStwentyEightAll",0,"",1,1,2,2,0,0,0,0,4,0
"68","MIR3671",7,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain goschTwentyoneHrMain",5,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",1,0,6,0,0,0,0,0,2,1
"69","CTD-2020K17",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"70","TNK1",6,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",1,0,5,0,0,0,0,0,2,1
"71","ZNF773",8,"gomez goschNineHrMain goschTwelveHrMain obermoser1BaseVSsevenALL obermoser1BaseVStenALL obermoser4BaselineVSfifteenAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll",2,"goschNineHrMain goschTwelveHrMain",1,0,2,5,0,0,0,0,3,1
"72","RAP1GDS1",8,"gomez obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser3BaselineVSpoint5All obermoser3BaselineVSthreeAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSthirtySixAll rusch",1,"obermoser1BaseVSsevenALL",1,0,0,6,0,1,0,0,3,1
"73","ASXL2",8,"gomez meaburn2 obermoser2BaselineVSsevenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll rusch karlovich2",1,"obermoser4BaselineVSfifteenAll",1,1,0,4,0,1,0,1,5,2
"74","SLC31A1",7,"gomez goschFifteenHrMain goschNineHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser1BaseVSoneALL obermoser4BaselineVSthirtySixAll",3,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain",1,0,4,2,0,0,0,0,3,1
"75","DHX38",7,"gomez goschFifteenHrMain goschTwelveHrMain obermoser1BaseVStwentyOneALL obermoser2BaselineVSsevenAll obermoser4BaselineVSone obermoser4BaselineVSsixAll",1,"goschTwelveHrMain",1,0,2,4,0,0,0,0,3,1
"76","GGT7",8,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSfourteenALL obermoser1BaseVStwentyEightALL",4,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain",1,0,5,2,0,0,0,0,3,1
"77","FAM45BP",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"78","CAPN12",6,"gomez obermoser2BaselineVSzeroAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSsixAll obermoser4BaselineVStwelveAll",0,"",1,0,0,5,0,0,0,0,2,0
"79","AC069282",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"80","FRMD5",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"81","MIER2",2,"gomez goschEighteenHrMain",0,"",1,0,1,0,0,0,0,0,2,0
"82","MTMR7",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"83","DIS3L2",9,"gomez meaburn1 meaburn2 goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll",5,"meaburn2 goschNineHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVStwelveAll",1,2,3,3,0,0,0,0,4,3
"84","ERMP1",11,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser1BaseVSoneALL obermoser1BaseVStwentyEightALL obermoser2BaselineVSzeroAll obermoser3BaselineVSsevenAll rusch",4,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain rusch",1,0,5,4,0,1,0,0,4,2
"85","TIMM23B",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"86","BRPF1",5,"gomez obermoser1BaseVStwentyOneALL obermoser4BaselineVSfifteenAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll",1,"obermoser4BaselineVSthirtySixAll",1,0,0,4,0,0,0,0,2,1
"87","USP31",7,"gomez meaburn1 meaburn2 goschEighteenHrMain goschNineHrMain goschTwentyoneHrMain rusch",1,"rusch",1,2,3,0,0,1,0,0,4,1
"88","SMURF2",12,"gomez meaburn2 goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser3BaselineVStenAll obermoser3BaselineVStwentyEightAll rusch karlovich_28d karlovich2",4,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain rusch",1,1,5,2,0,1,0,2,6,3
"89","RP11-35G9",3,"gomez goschNineHrMain goschSixHrMain",1,"goschNineHrMain",1,0,2,0,0,0,0,0,2,1
"90","EIF4ENIF1",3,"gomez obermoser3BaselineVSsevenAll larocca",0,"",1,0,0,1,0,0,1,0,3,0
"91","HMGB3",9,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser1BaseVStenALL rusch",3,"goschFifteenHrMain goschSixHrMain goschTwelveHrMain",1,0,5,2,0,1,0,0,4,1
"92","SRFBP1",2,"gomez obermoser4BaselineVSfortyEightAll",0,"",1,0,0,1,0,0,0,0,2,0
"93","RP11-46C24",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"94","GPBP1L1",10,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSsevenALL obermoser3BaselineVStwentyEightAll obermoser4BaselineVSfifteenAll rusch",7,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSsevenALL obermoser4BaselineVSfifteenAll rusch",1,0,5,3,0,1,0,0,4,3
"95","CA13",6,"gomez goschNineHrMain goschTwelveHrMain obermoser1BaseVStwentyOneALL obermoser4BaselineVSfifteenAll rusch",2,"goschNineHrMain goschTwelveHrMain",1,0,2,2,0,1,0,0,4,1
"96","TSPAN6",4,"gomez obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSthirtySixAll",1,"obermoser4BaselineVSfifteenAll",1,0,0,3,0,0,0,0,2,1
"97","SESN2",9,"gomez meaburn1 goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser1BaseVStwentyEightALL obermoser1BaseVStwentyOneALL rusch larocca",3,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain",1,1,3,2,0,1,1,0,6,1
"98","APP",8,"gomez obermoser1BaseVSsevenALL obermoser1BaseVStenALL obermoser2BaselineVSsevenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVStwelveAll obermoser4BaselineVSzeroAll",2,"obermoser1BaseVSsevenALL obermoser4BaselineVSfifteenAll",1,0,0,7,0,0,0,0,2,1
"99","USP42",13,"gomez meaburn2 obermoser1BaseVSfourteenALL obermoser1BaseVSsevenALL obermoser1BaseVStenALL obermoser1BaseVSthreeALL obermoser3BaselineVSthreeAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll obermoser4BaselineVSzeroAll rusch karlovich2",3,"obermoser1BaseVSsevenALL obermoser4BaselineVSfifteenAll rusch",1,1,0,9,0,1,0,1,5,3
"100","RP4-758J18",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"101","NUDT18",7,"gomez goschNineHrMain obermoser1BaseVSfourteenALL obermoser1BaseVStenALL obermoser1BaseVStwentyEightALL obermoser1BaseVStwentyOneALL rusch",0,"",1,0,1,4,0,1,0,0,4,0
"102","CWC27",7,"gomez goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser3BaselineVStwentyEightAll rusch karlovich2",2,"goschNineHrMain goschTwelveHrMain",1,0,3,1,0,1,0,1,5,2
"103","RP11-299J3",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"104","ZBTB20-AS1",8,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschThreeHrMain goschTwelveHrMain goschTwentyoneHrMain",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",1,0,7,0,0,0,0,0,2,1
"105","ZBED6CL",4,"gomez goschEighteenHrMain goschSixHrMain goschTwelveHrMain",0,"",1,0,3,0,0,0,0,0,2,0
"106","FSD1L",11,"gomez meaburn1 meaburn2 goschEighteenHrMain goschThreeHrMain goschTwentyoneHrMain obermoser1BaseVSzeroALL obermoser3BaselineVSsevenAll obermoser3BaselineVSthreeAll karlovich_14d karlovich_28d",0,"",1,2,3,3,0,0,0,2,5,1
"107","RAB4B",4,"gomez obermoser3BaselineVSsevenAll obermoser4BaselineVSone obermoser4BaselineVStwelveAll",0,"",1,0,0,3,0,0,0,0,2,0
"108","KCTD18",3,"gomez meaburn2 rusch",1,"rusch",1,1,0,0,0,1,0,0,3,1
"109","CTD-2013N17",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"110","PLEKHA3",7,"gomez meaburn2 goschNineHrMain goschTwelveHrMain obermoser1BaseVSsevenALL obermoser4BaselineVSsixAll rusch",3,"goschTwelveHrMain obermoser1BaseVSsevenALL rusch",1,1,2,2,0,1,0,0,5,3
"111","RP11-44I10",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"112","WDR48",3,"gomez goschNineHrMain obermoser3BaselineVSthreeAll",1,"goschNineHrMain",1,0,1,1,0,0,0,0,3,1
"113","RP11-399K21-12",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"114","CMSS1",9,"gomez goschFifteenHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser3BaselineVSpoint5All obermoser3BaselineVStenAll obermoser3BaselineVStwentyEightAll obermoser4BaselineVSfortyEightAll karlovich2",1,"goschTwelveHrMain",1,0,2,5,0,0,0,1,4,2
"115","WAPL",4,"gomez obermoser1BaseVSsevenALL obermoser2BaselineVSsevenAll rusch",1,"rusch",1,0,0,2,0,1,0,0,3,1
"116","RPL29P14",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"117","ZNF213-AS1",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"118","SLC12A2",3,"gomez obermoser1BaseVSoneALL rusch",1,"rusch",1,0,0,1,0,1,0,0,3,1
"119","CRY2",6,"gomez goschEighteenHrMain goschFifteenHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser1BaseVSoneALL",1,"goschTwelveHrMain",1,0,4,1,0,0,0,0,3,1
"120","MAP3K13",5,"gomez meaburn2 rusch larocca karlovich2",1,"rusch",1,1,0,0,0,1,1,1,5,2
"121","RP11-1102P22",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"122","PNPLA4",2,"gomez goschTwelveHrMain",1,"goschTwelveHrMain",1,0,1,0,0,0,0,0,2,1
"123","HSD11B1L",7,"gomez goschFifteenHrMain goschNineHrMain obermoser1BaseVSoneALL obermoser1BaseVStwentyOneALL obermoser2BaselineVSsevenAll obermoser3BaselineVSzeroAll",0,"",1,0,2,4,0,0,0,0,3,0
"124","KIAA1958",6,"gomez obermoser1BaseVSfourteenALL obermoser1BaseVSoneALL obermoser1BaseVStwentyOneALL obermoser3BaselineVStenAll obermoser4BaselineVSthirtySixAll",0,"",1,0,0,5,0,0,0,0,2,0
"125","APPBP2",6,"gomez obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser4BaselineVSfifteenAll rusch karlovich2",0,"",1,0,0,3,0,1,0,1,4,1
"126","AKAP12",7,"gomez meaburn2 obermoser3BaselineVSoneAll obermoser4BaselineVSnineAll obermoser4BaselineVSone obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll",0,"",1,1,0,5,0,0,0,0,3,0
"127","SLC38A2",9,"gomez meaburn1 meaburn2 goschFifteenHrMain goschTwelveHrMain obermoser1BaseVStenALL obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll rusch",2,"meaburn2 rusch",1,2,2,3,0,1,0,0,5,2
